"","from_id","to_id","travel_time_p50"
"1","E02000247","Crown",21
"2","E02000244","Duke Of Kent",26
"3","E02000243","Black Horse",18
"4","E02000240","Crown",16
"5","E02000241","Crown",14
"6","E02000241","Black Horse",24
"7","E02000437","Harrow Arts Centre",28
"8","E02000434","Three Wishes",18
"9","E02000432","Nambucca",25
"10","E02000432","Jj Moons",22
"11","E02000432","North Nineteen",21
"12","E02000432","Orleans Winebar",15
"13","E02000432","Worlds End",11
"14","E02000432","Shaftesbury",16
"15","E02000432","Stapleton",6
"16","E02000432","The Finsbury",17
"17","E02000432","Three Compasses",26
"18","E02000430","Jj Moons",30
"19","E02000430","North Nineteen",26
"20","E02000430","Orleans Winebar",29
"21","E02000430","Worlds End",25
"22","E02000430","Lauderdale House",27
"23","E02000430","Shaftesbury",19
"24","E02000430","Stapleton",15
"25","E02000430","The Boogaloo",25
"26","E02000430","Three Compasses",18
"27","E02000431","The Boston Arms",28
"28","E02000431","The Dome",27
"29","E02000431","Nambucca",28
"30","E02000431","Jj Moons",28
"31","E02000431","North Nineteen",28
"32","E02000431","Lauderdale House",7
"33","E02000431","Shaftesbury",24
"34","E02000431","Kenwood House",24
"35","E02000431","The Boogaloo",4
"36","E02000438","Harrow Arts Centre",3
"37","E02000439","Three Wishes",14
"38","E02000747","Fold",20
"39","E02000747","The Beckton Arms",10
"40","E02000747","Arch 1",24
"41","E02000744","Fold",20
"42","E02000744","The Beckton Arms",12
"43","E02000744","Arch 1",22
"44","E02000745","The Beckton Arms",23
"45","E02000544","Royal Oak",18
"46","E02000544","Club K Hounslow",20
"47","E02000545","Swan",18
"48","E02000545","The White Swan",29
"49","E02000545","Fox",27
"50","E02000545","Patchworks",24
"51","E02000545","Crown",27
"52","E02000545","Royal Oak",17
"53","E02000545","Castle",18
"54","E02000545","Red Lion",21
"55","E02000542","Club K Hounslow",13
"56","E02000543","Royal Oak",29
"57","E02000543","Club K Hounslow",9
"58","E02000540","Royal Oak",14
"59","E02000540","Club K Hounslow",17
"60","E02000540","Red Lion",21
"61","E02000737","Denmark Arms",10
"62","E02000737","The Broadway Theatre",29
"63","E02000734","Arch 1",30
"64","E02000734","King Edward Vii",20
"65","E02000734","The Railway Tavern",28
"66","E02000735","Denmark Arms",28
"67","E02000732","Denmark Arms",16
"68","E02000733","Fold",28
"69","E02000733","Arch 1",30
"70","E02000733","The Bridge",27
"71","E02000733","The View Tube",24
"72","E02000733","King Edward Vii",12
"73","E02000733","The Railway Tavern",21
"74","E02000730","King Edward Vii",29
